Review Text,review_english,User Name,category,sentimiento
"I cannot say enough good things about this car service! We arrived to the airport in style!! It was a very smooth and comfortable ride for 7 people with luggage. <br /><br />The driver was prompt and very communicative! He was dressed in a suit, very professional. <br /><br />We took two taxi’s from the airport and the price of that was comparable to the price of this service and it was 150% safer and comfortable!! <br /><br />I am definitely going to use them in the future!!","I cannot say enough good things about this car service! We arrived to the airport in style!! It was a very smooth and comfortable ride for 7 people with luggage. <br /><br />The driver was prompt and very communicative! He was dressed in a suit, very professional. <br /><br />We took two taxi’s from the airport and the price of that was comparable to the price of this service and it was 150% safer and comfortable!! <br /><br />I am definitely going to use them in the future!!",Julia S,Recomendación por buen servicio del conductor,2
"Great service and easy to organize.  Received a response to my email quickly and had my ride scheduled and payment set within a few hours.  Leaving for a flight at 3:30am, I was very anxious about using a car service (and having them show up on time) but the excellent reviews for Precision were all accurate, our driver arrived at 3:15, let us know he was here, and was very professional.  We got to the airport smoothly and without worry.  Will definitely use the service again!","Great service and easy to organize.  Received a response to my email quickly and had my ride scheduled and payment set within a few hours.  Leaving for a flight at 3:30am, I was very anxious about using a car service (and having them show up on time) but the excellent reviews for Precision were all accurate, our driver arrived at 3:15, let us know he was here, and was very professional.  We got to the airport smoothly and without worry.  Will definitely use the service again!",Lilitreamont,Recomendación por buen servicio del conductor,2
"We have used them 6 times this past year for my daughter and now us.  They are stellar at communication.  They are there when they say they will be.  We landed at JFK and when I turned my phone on the driver had just texted me.  Even with flight delays and changes they can pivot very easily.  Their fleet is pristine, and their drivers are amazing.  I will ALWAYS use them.  So worth it to have them drive you through the city/pick up/ etc.  ","We have used them 6 times this past year for my daughter and now us.  They are stellar at communication.  They are there when they say they will be.  We landed at JFK and when I turned my phone on the driver had just texted me.  Even with flight delays and changes they can pivot very easily.  Their fleet is pristine, and their drivers are amazing.  I will ALWAYS use them.  So worth it to have them drive you through the city/pick up/ etc.",BobnLaurie,Otro,2
"Great, Professional Drivers.  They were early and helpful.  Offered us water and the cars were extremely nice and clean.  We were made to feel very comfortable after a long flight with such great service.  We were picked up at JFK and taken to our hotel in Times Square.  They picked us up at our hotel and took us back to JFK for our early flight home.<br /><br />I highly recommend this company and will use them again.  I have referred people to use their service.","Great, Professional Drivers.  They were early and helpful.  Offered us water and the cars were extremely nice and clean.  We were made to feel very comfortable after a long flight with such great service.  We were picked up at JFK and taken to our hotel in Times Square.  They picked us up at our hotel and took us back to JFK for our early flight home.<br /><br />I highly recommend this company and will use them again.  I have referred people to use their service.",mld661,Recomendación por buen servicio del conductor,2
"Great communication and service. Someone answers phone, easy to book, they worked with me on having to bump a scheduled ride to a bit later in day. <br />Booked airport transfers from Newark to hotel in Manhattan and back as well as a point to point for an evening event. <br />Drivers arrived early, were very polite and cars very clean as well as upscale (Cadillac, suburban, etc. ) <br />Would definitely use them again and recommend to others. ","Great communication and service. Someone answers phone, easy to book, they worked with me on having to bump a scheduled ride to a bit later in day. <br />Booked airport transfers from Newark to hotel in Manhattan and back as well as a point to point for an evening event. <br />Drivers arrived early, were very polite and cars very clean as well as upscale (Cadillac, suburban, etc. ) <br />Would definitely use them again and recommend to others.",Audrey S,Recomendación por buen servicio del conductor,2
"We flew to NYC September 26 returning September 28, 2023. We were just there for a doctor’s appointment. We used their limo service to travel to and from our hotel on 92nd street from/to LGA.  They were excellent. They were at the airport when we landed and picked us up early from our hotel.<br />It was so much easier than trying to get a cab and the expense was worth it.  It took all the stress out of the visit.","We flew to NYC September 26 returning September 28, 2023. We were just there for a doctor’s appointment. We used their limo service to travel to and from our hotel on 92nd street from/to LGA.  They were excellent. They were at the airport when we landed and picked us up early from our hotel.<br />It was so much easier than trying to get a cab and the expense was worth it.  It took all the stress out of the visit.",Debbi I,Otro,2
"Cheema was our driver, on June 17, 2023. He arrived at Newark airport, on time, in a beautiful black Yukon GMC. The car was immaculate inside and very comfortable. Cheema was so courteous and loaded all our luggage into the vehicle. He is an excellent driver and very pleasant! He drove us to a hotel in Staten Island and it was the best experience driving in congested traffic. He is an expert and an asset to Precsion NY chauffeur service! If we travel to Staten Island again we will definitely ask for him.","Cheema was our driver, on June 17, 2023. He arrived at Newark airport, on time, in a beautiful black Yukon GMC. The car was immaculate inside and very comfortable. Cheema was so courteous and loaded all our luggage into the vehicle. He is an excellent driver and very pleasant! He drove us to a hotel in Staten Island and it was the best experience driving in congested traffic. He is an expert and an asset to Precsion NY chauffeur service! If we travel to Staten Island again we will definitely ask for him.",Mary W,Recomendación por buen estado del vehículo,2
I just wanted to make sure to let everyone know this car service was excellent. I would recommend and have recommended to many people using this service for travel to and from LaGuardia airport into Manhattan. This was my first time traveling from the airport to the city and they were very helpful. They answered all of my questions and gave me great advice. The drivers were very professional and made the drive very pleasant and enjoyable. I was really nervous picking out a car service and read many reviews. Needless to say it seemed there were many car services to choose from and there was always something negative to be said. Precision NY was the best choice I could have ever made and if I ever get the chance to travel to NYC again I will definitely use them. Thank you for everything!,I just wanted to make sure to let everyone know this car service was excellent. I would recommend and have recommended to many people using this service for travel to and from LaGuardia airport into Manhattan. This was my first time traveling from the airport to the city and they were very helpful. They answered all of my questions and gave me great advice. The drivers were very professional and made the drive very pleasant and enjoyable. I was really nervous picking out a car service and read many reviews. Needless to say it seemed there were many car services to choose from and there was always something negative to be said. Precision NY was the best choice I could have ever made and if I ever get the chance to travel to NYC again I will definitely use them. Thank you for everything!,Tammy F,Recomendación por buen servicio del conductor,2
"I was on a holiday to celebrate our 25th Wedding anniversary and needed transportation from Midtown to the Liberty cruise terminal.  After checking reviews on a number of Limo companies I decided on Precision NYC and they delivered.   I called and booked over the phone from UK as I prefer to talk to a real person and the process was simple and straightforward.  On the day of pickup the driver called me 45 mins ahead of schedule and waited around the corner until we were ready.   We made our way outside and was greeted by a gleaming spotless limo with an equally sharply dressed driver in Malik.   He was a great guy and initially courteous but not chatty (not everyone wants to talk at the best of times), but when engaged was a really great guy and a pleasure to talk to.  The journey was super comfortable and a real great experience which was the perfect way to end our NY trip and start our cruise.  I cannot recommend highly enough","I was on a holiday to celebrate our 25th Wedding anniversary and needed transportation from Midtown to the Liberty cruise terminal.  After checking reviews on a number of Limo companies I decided on Precision NYC and they delivered.   I called and booked over the phone from UK as I prefer to talk to a real person and the process was simple and straightforward.  On the day of pickup the driver called me 45 mins ahead of schedule and waited around the corner until we were ready.   We made our way outside and was greeted by a gleaming spotless limo with an equally sharply dressed driver in Malik.   He was a great guy and initially courteous but not chatty (not everyone wants to talk at the best of times), but when engaged was a really great guy and a pleasure to talk to.  The journey was super comfortable and a real great experience which was the perfect way to end our NY trip and start our cruise.  I cannot recommend highly enough",jasonevs,Otro,2
"Made our second trip to NYC this last weekend and used Precision for our airport transfer to and from our hotel in Manhattan. We also used them on our first visit. They were great. Would highly recommend using their services. Each time the vehicles are very clean and the drivers are timely and attentive. I received a text message as soon as our plane touched down at JFK. Upon collecting our luggage, Vik met us at the curb to pick us up. He was on time and courteous. On our way from the hotel to the airport Khuram picked us up. He was great as well. He was on time (early) and got us to JFK timely. Would recommend again and again for your airport transfers.","Made our second trip to NYC this last weekend and used Precision for our airport transfer to and from our hotel in Manhattan. We also used them on our first visit. They were great. Would highly recommend using their services. Each time the vehicles are very clean and the drivers are timely and attentive. I received a text message as soon as our plane touched down at JFK. Upon collecting our luggage, Vik met us at the curb to pick us up. He was on time and courteous. On our way from the hotel to the airport Khuram picked us up. He was great as well. He was on time (early) and got us to JFK timely. Would recommend again and again for your airport transfers.",b_louns,Recomendación por buen servicio del conductor,2
