User Name,User Profile,User Avatar,User Location,Rating,Rating Text,Review Title,Review Text,Helpful Votes,Photos,Published Date,Disclaimer,Review_Text_english
Trip26751498249,https://www.tripadvisor.com/Profile/Trip26751498249,https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/5d/default-avatar-2020-32.jpg,,5,Jan 2024 • Family,Great Service,"We used NYC LUXOR LIMO recently for our trip to midtown NYC from JFK. We were met at JFK airport on time. The drivers were very professional, skilled at traffic, and excellent all around. Additionally, the office staff were friendly and very helpful, and made me feel comfortable with all arrangements and changes to the itinerary. Most importantly, the service was well worth the price. Thank you.",0,,"Written January 22, 2024",This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC.,"We used nyc luxor Limo Recently for Our Trip to Midtown Nyc from JFK.We were met at jfk airport on time.The drivers were Vray Professional, Skilled at Traffic, and Excellent All Around.Additionionally, The Office Staff Were Friendly and Vry Helpful, and Made Me Feel Comfortable With All Arrangements and Changes to the itinery.Most Importently, The Service Was Well Worth the Price.Thank you."
kamal r,https://www.tripadvisor.com/Profile/727kamalr,https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/ef/default-avatar-2020-66.jpg,,5,Sep 2023 • Business,Excellent,Excellent  service. Every driver was fully top notch. End to End. Gave us fabulous   experience.  Will use them again.,0,,"Written September 15, 2023",This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC.,Excellent Service.Every Driver was Fully Top Notch.End to end.Gave Us Fabulous Experience.Will use them agin.
Emily Smith,https://www.tripadvisor.com/Profile/12Esmith902,https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/20/default-avatar-2020-31.jpg,,5,Jan 2022 • Business,Excellent ride from Boston to New York,"I often travel to New York for work and I always book with this company because they provide fast, cheap and reliable service with excellent quality.",0,,"Written February 13, 2022",This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC.,"I OFTEN TRAVEL TO NEW YORK FOR WORK AND I ALOWS BOOK WITH THIS COMPANY BACASE THE PROVIDE FAST, CHEAP AND RELIABLE SERVICE WITH EXCELLENT QUALITY."
Alex,https://www.tripadvisor.com/Profile/957manjits,https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/99/default-avatar-2020-40.jpg,,5,Jan 2022 • Business,Airport service,Best car service in NYC I was provided the best service by NYC Luxor Limo with a Luxury Suv. I highly recommend this company.,0,,"Written February 13, 2022",This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC.,Best Car Service in nyc i was provided the Best Service by Nyc Luxor Limo With A Luxury SUV.I Highly recommends This Company.
Tom L,https://www.tripadvisor.com/Profile/tomlY4425NE,https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/66/default-avatar-2020-53.jpg,,5,Dec 2021 • Friends,LaGuardia to Manhattan,During Christmas I was traveling from LaGuardia to Manhattan and I booked from NYC Luxor Limo and I was greeted with a nice and friendly driver Sunny and the car was very clean.,0,"https://media-cdn.tripadvisor.com/media/photo-o/22/12/00/24/nyc-luxor-limo.jpg
https://media-cdn.tripadvisor.com/media/photo-o/22/12/00/19/nyc-luxor-limo.jpg","Written February 13, 2022",This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC.,During Christmas I was Traveling from Laguardia to Manhattan and I Booked from Nyc Luxor Limo and I was greeted with a nice and friendly Driver Sunny and the Car Was Vray Clean.
John,https://www.tripadvisor.com/Profile/John566788,https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/24/default-avatar-2020-60.jpg,,5,Dec 2020 • Couples,Really impressed by service,"I used this car service yesterday, feel really great. Best service so far, great driver, great dressing, they also offer hand sanitizer and water 10000% I’m going to use this again (always).",0,,"Written December 29, 2020",This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC.,"I used this car service Yesterday, Feel Really Great.Best Service So Far, Great Driver, Great Dressing, They Also Offer Hand Sanitizer and Water 10000% I’m Going To Use This Again (Always)."
William Smith,https://www.tripadvisor.com/Profile/213manjits,https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/06/default-avatar-2020-18.jpg,,5,Aug 2020 • Family,Sanitery and clean,I order a car for my parents to go to a doctor apointment and when then car arived it was clean and the driver was also wearing a mask this made us feel safe. If my parents have another appointment I will book from NYC Luxor Limo again.,0,,"Written August 22, 2020",This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC.,I order Car for My Parents to go to Doctor Apointment and When Car Aried It Was Clean and the Driver was also wearing a mask This made use us Feel Safe.If my parents have another appointment i Will Book from NYC Luxor Limo Again.
Sophia,https://www.tripadvisor.com/Profile/848manjinderk,https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e6/ea/default-avatar-2020-54.jpg,"New York City, NY",5,Aug 2020 • Solo,Excellent services,They had good service and it was very sanitary. NYC Luxor Limo provided me with a mask and hand sanitizer.,0,,"Written August 22, 2020",This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC.,They had good service and it was to sanitary.NYC Luxor Limo Provided Me With a mask and hand sanitizer.
Thomas Smith,https://www.tripadvisor.com/Profile/Thomassmith17,https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/a7/default-avatar-2020-44.jpg,,5,Aug 2020 • Solo,It was a professional service,When I was traveling I decided to book to this company and the service was excellent. I was greeted professional and I was provided water and magazines. Over all the ride was very smooth and easy. I would recommend this anyone wanting to travel in need of a car.,0,,"Written August 16, 2020",This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC.,WHEN I WAS TRAVELING I DECIDED TO BOK TO THIS COMPANY AND THE SERVICE WAS EXCELLENT.I was Greeted Professional and I was provided water and magazines.Over All The Ride was Vary Smooth and Easy.I WOULD RECOMMEND THIS ANYONE WANTING TO TRAVEL IN NEED OF A CAR.
Thomas B,https://www.tripadvisor.com/Profile/TSB3649,https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/66/default-avatar-2020-53.jpg,"Topeka, KS",5,Feb 2024 • Solo,Great service,"I ve used a number of car services in the past, but not this one. I actually contacted two and they responded first and fast. Everything worked perfectly. Their communication was excellent and quick. It really made my trip easy and hassle free. The price was the same as others, maybe 5 or 10 less.!",0,,"Written February 10, 2024",This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC.,"I see Number of Carar Services in the Past, But Not This One.I Actually Contact Two and They replied First and Fast.Everything Worked Perfectly.Their Communication was Excellents and Quick.It Really Made My Trip Easy and Hassle Free.The Price was The Same as Others, Maybe 5 or 10 Less.!"
lkennedy23_23,https://www.tripadvisor.com/Profile/lkennedy23_23,https://media-cdn.tripadvisor.com/media/photo-s/01/9c/e8/78/lkennedy23-23.jpg,"Orlando, FL",5,Feb 2024 • Couples,Professional and responsive!!!,"Excellent communication before, during, and after! On time! Professional! I found the car service using google search. They called right away with pricing information. I verbally processed the transportation reservation and immediately received emailed confirmation. Also received text messages with driver information and contact number.",0,,"Written February 10, 2024",This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC.,"EXCELLENT COMMUNICATION BEFORE, DURING, AND AFTER!On time!Professional!I Found The Car Service Using Google Search.They street right away with pricing information.I VERBALLY PROCESSED THE TRANSPORTATION RESERVATION AND IMMEDIARY REVIVED EMAILED CONFIRATION.Also Received Text Messages with Diver Information and Contact Number."
Terrie W,https://www.tripadvisor.com/Profile/terriew795,https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/10/default-avatar-2020-8.jpg,,1,Sep 2023 • Family,WORST SERVICE EVER!!!! DO NOT USE,"WORST SERVICE EVER!!!!!!<br />Booked them to take us from cruise port to airport. They were over an hour late.<br />When we called them multiple times we just kept being told they are on the way.<br />Once the drive showed up he got on the highway and then just stopped in the middle of the highway to look at gps...We almost got hit by a 18 wheeler. Then when he entered into the airport he did it again just stopped in the middle of the road to look at where he needed to go.<br /><br />Once we got home I called and expressed my concerns and was told ""you got there didn't you"" They refused to do anything.",0,,"Written January 31, 2024",This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC.,"WORST SERVICE EVER !!!!!They were over an hour late.The Highway to look at GPS ... We Almost Hit By A 18 Wheeler.The when I entered into the airport he did it crowd just stopped in the Middle of the Road to look at where he needed to go.You Got There Didn't You ""They Refused to do Anything."
Ava H,https://www.tripadvisor.com/Profile/845avah,https://media-cdn.tripadvisor.com/media/photo-s/17/44/a4/02/845avah.jpg,"Tallahassee, FL",5,Jan 2024 • Business,Wonderful Service!,"I chose the service based on recommendations. For me, I am entrusting LimoStar to take care of myself and my family. They confirm and communicate pick-up in advance. I use them to transport us from and to the airport. My daughter feels safe, which is extremely important to us. The driver is always on time or early. The cost is reasonable and fair. I plan to continue using their services and highly recommend them to future customers!",0,,"Written January 28, 2024",This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC.,"I Chose The Service Based on Recommendations.For me, I am entrusting silt to take care of myself and my family.They confirm and communicate pick-up in advance.I use them to transport us from and to the airport.My Daughter Feels Safe, which is extremely important to us.The driver is always on time or early.The Cost Is Reasonable and Fair.I plan to continue using their services and highly recommended them to future customs!"
JLynne3,https://www.tripadvisor.com/Profile/JLynne3,https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/74/default-avatar-2020-68.jpg,"Los Angeles, CA",5,Jan 2024 • Solo,Excellent service!!,Always reliable.  On time. Friendly. Courteous. Helpful. Clean and spotless. All you need and want in a car service. Highly recommend.,0,,"Written January 27, 2024",This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC.,Reliable Always.On time.Friendly.Courteous.HelpfulClean and Spotless.All You Need and Want in A A Service.Highly recommends.
Lauren F,https://www.tripadvisor.com/Profile/LeFersch,https://media-cdn.tripadvisor.com/media/photo-f/01/2e/70/88/avatar009.jpg,,5,Jan 2024 • Business,Great!,"My trip was smooth from start to finish. The driver was friendly and efficient, got me to my destination without any issues.",0,,"Written January 27, 2024",This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC.,"My trip was Smooth from start to finish.The Driver was Friendly and Efficient, Got Me To My Destination Without Any Issues."
KEVIN R,https://www.tripadvisor.com/Profile/kevinrG1102ZR,https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/4a/default-avatar-2020-42.jpg,"San Diego, CA",5,Jan 2024 • Business,GRE!,"Drivers were EARL,Y Prepared and friendly.  No hiccups.  <br />This is my 6th time using Limo Star and will continue!",0,,"Written January 19, 2024",This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC.,"Drivers Were Earl, and prepare and friendly.I don't do.<br /> This is my 6th Time Using Limo Star and Will Continue!"
Debra,https://www.tripadvisor.com/Profile/R6499GHdebrah,https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/99/default-avatar-2020-57.jpg,"Tarrytown, NY",5,Jan 2024 • Solo,Great Airport Pick Up in the Middle of a Rain and Wind Storm,"I called Limo Star NY for a JFK pick up at the last minute, arriving in the middle of a wind and rain storm.  The experience was terrific.  The driver (Sheldon) was fabulous.  Pick up at JFK can be trying.  Sheldon made it easy.  Driving conditions were terrible but the ride was great.  I would not hesitate to book Limo Star NY (and Sheldon) again and I will surely recommend them to others.",0,,"Written January 10, 2024",This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC.,"I CALLED LIMO STAR NY FOR A JFK PICK UP AT THE LET MINUTE, ARRIVING IN THE MIDDLE OF A WIND AND RAIN STORM.The Experience was terrific.The driver (Sheldon) was Fabulous.Pick Up at JFK Can Be Trying.Sheldon Made It Easy.DRIVING CONDIONS WERE TERRIBLE BUT THE RIDE WAS GREAT.I WOUD NOT HESITATE TO BOOK LIMO STAR NY (ANDHELDON) ANGAIN AND I WILL SOULY RECOMMEND THEM TO OThers."
